		 Counter Testbench  (log saved to 'counter.log')
==    INITIAL  == : RST_ = x	M = x	LD = x	D = xxxx	CE = x	Q = 'bxxxx	CO = x	 Time -:    0.00 ns
== After Reset == : RST_ = 0	M = x	LD = x	D = xxxx	CE = x	Q = 'b0000	CO = 0	 Time -:   20.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0111 ( 7)	CO = 0	CLK=1	 Time -:  375.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0111 ( 7)	CO = 0	CLK=0	 Time -:  380.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0110 ( 6)	CO = 0	CLK=1	 Time -:  385.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0110 ( 6)	CO = 0	CLK=0	 Time -:  390.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0101 ( 5)	CO = 0	CLK=1	 Time -:  395.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0101 ( 5)	CO = 0	CLK=0	 Time -:  400.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0100 ( 4)	CO = 0	CLK=1	 Time -:  405.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0100 ( 4)	CO = 0	CLK=0	 Time -:  410.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0011 ( 3)	CO = 0	CLK=1	 Time -:  415.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0011 ( 3)	CO = 0	CLK=0	 Time -:  420.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0010 ( 2)	CO = 0	CLK=1	 Time -:  425.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0010 ( 2)	CO = 0	CLK=0	 Time -:  430.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0001 ( 1)	CO = 0	CLK=1	 Time -:  435.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0001 ( 1)	CO = 0	CLK=0	 Time -:  440.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0000 ( 0)	CO = 1	CLK=1	 Time -:  445.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b0000 ( 0)	CO = 1	CLK=0	 Time -:  450.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1111 (15)	CO = 1	CLK=1	 Time -:  455.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1111 (15)	CO = 1	CLK=0	 Time -:  460.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1110 (14)	CO = 1	CLK=1	 Time -:  465.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1110 (14)	CO = 1	CLK=0	 Time -:  470.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1101 (13)	CO = 1	CLK=1	 Time -:  475.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1101 (13)	CO = 1	CLK=0	 Time -:  480.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1100 (12)	CO = 1	CLK=1	 Time -:  485.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1100 (12)	CO = 1	CLK=0	 Time -:  490.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1011 (11)	CO = 1	CLK=1	 Time -:  495.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1011 (11)	CO = 1	CLK=0	 Time -:  500.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1010 (10)	CO = 1	CLK=1	 Time -:  505.00 ns
